symbol,daily_first_date,execution_first_date,execution_last_date,execution_sessions,unexpected_partial_sessions
AMD,2020-01-02,2021-01-04,2026-05-22,1353,0
ANET,2020-01-02,2021-01-04,2026-05-22,1353,0
AVGO,2020-01-02,2021-01-04,2026-05-22,1353,0
LRCX,2020-01-02,2021-01-04,2026-05-22,1353,0
MRVL,2020-01-02,2021-01-04,2026-05-22,1353,0
NVDA,2020-01-02,2021-01-04,2026-05-22,1353,0
PANW,2020-01-02,2021-01-04,2026-05-22,1353,0
QQQ,2020-01-02,2021-01-04,2026-05-22,1353,0
SHOP,2020-01-02,2021-01-04,2026-05-22,1353,0
SOXX,2020-01-02,2021-01-04,2026-05-22,1353,0
SPY,2020-01-02,2021-01-04,2026-05-22,1353,0
TSLA,2020-01-02,2021-01-04,2026-05-22,1353,0
