key,label,basis,portfolio_value,pnl,period_return_pct,annual_return_pct,max_drawdown_pct,trades,closed,open,wins,losses,win_rate,avg_win_pct,avg_loss_pct,delta_value,delta_return_pct
current_1pct,الحالي: رفع داخل الجلسة بدرجة 1 بالمئة,قابل للتنفيذ ببيانات خمس دقائق,42608.84,32608.84,326.09,83.52,-7.93,426,425,1,386,39,90.82,2.03,-6.39,0.0,0.0
intraday_1_8pct,أفضل اختبار سابق: رفع داخل الجلسة بدرجة 1.8 بالمئة,قابل للتنفيذ ببيانات خمس دقائق,49004.91,39004.91,390.05,94.59,-11.25,415,414,1,362,52,87.44,2.61,-6.63,6396.07,63.96
next_high_0_5pct,أعلى اليوم ثم الجلسة التالية: درجة 0.5 بالمئة,قابل للتنفيذ ببيانات خمس دقائق,93440.09,83440.09,834.4,154.99,-7.11,368,366,2,329,37,89.89,3.21,-5.9,50831.25,508.31
next_high_1pct,قاعدة النسخة القديمة الواقعية: أعلى اليوم ثم الجلسة التالية بدرجة 1 بالمئة,قابل للتنفيذ ببيانات خمس دقائق,82253.31,72253.31,722.53,141.73,-7.06,365,363,2,321,42,88.43,3.34,-6.0,39644.47,396.44
next_high_1_5pct,أعلى اليوم ثم الجلسة التالية: درجة 1.5 بالمئة,قابل للتنفيذ ببيانات خمس دقائق,74044.24,64044.24,640.44,131.31,-11.33,357,355,2,305,50,85.92,3.56,-6.27,31435.4,314.35
next_high_1_8pct,أعلى اليوم ثم الجلسة التالية: درجة 1.8 بالمئة,قابل للتنفيذ ببيانات خمس دقائق,71106.63,61106.63,611.07,127.42,-11.58,358,356,2,303,53,85.11,3.64,-6.41,28497.79,284.98
next_high_2pct,أعلى اليوم ثم الجلسة التالية: درجة 2 بالمئة,قابل للتنفيذ ببيانات خمس دقائق,55834.54,45834.54,458.35,105.52,-11.51,355,353,2,291,62,82.44,3.75,-6.58,13225.7,132.26
next_high_3pct,أعلى اليوم ثم الجلسة التالية: درجة 3 بالمئة,قابل للتنفيذ ببيانات خمس دقائق,48030.61,38030.61,380.31,92.96,-17.34,349,347,2,269,78,77.52,4.26,-6.31,5421.77,54.22
next_high_4pct,أعلى اليوم ثم الجلسة التالية: درجة 4 بالمئة,قابل للتنفيذ ببيانات خمس دقائق,39627.14,29627.14,296.27,78.02,-17.81,340,338,2,245,93,72.49,4.78,-6.11,-2981.7,-29.82
next_high_5pct,أعلى اليوم ثم الجلسة التالية: درجة 5 بالمئة,قابل للتنفيذ ببيانات خمس دقائق,37961.75,27961.75,279.62,74.85,-18.05,336,334,2,233,101,69.76,5.09,-6.04,-4647.09,-46.47
old_daily_reference,النسخة اليومية القديمة: مرجع للمقارنة فقط,غير معتمد للتنفيذ: ترتيب الحركة داخل اليوم غير معلوم,190516.03,180516.03,1805.16,243.65,-6.29,433,432,1,393,39,90.97,3.46,-6.44,147907.19,1479.07
