key,label,portfolio_value,pnl,period_return_pct,annual_return_pct,max_drawdown_pct,trades,closed,open,wins,losses,win_rate,avg_win_pct,avg_loss_pct,delta_value,delta_return_pct
no_trailing,بلا وقف متحرك: الهدف أو الوقف الأصلي,36743.19,26743.19,267.43,72.48,-21.29,331,328,3,220,108,67.07,5.54,-6.0,-5865.65,-58.66
current_1pct,الحالي: قفل درجات بنسبة 1 بالمئة,42608.84,32608.84,326.09,83.52,-7.93,426,425,1,386,39,90.82,2.03,-6.39,0.0,0.0
step_1_8pct,قفل درجات بنسبة 1.8 بالمئة,49004.91,39004.91,390.05,94.59,-11.25,415,414,1,362,52,87.44,2.61,-6.63,6396.07,63.96
atr_40_075,تفعيل 40 بالمئة من الهدف | مسافة ATR بمضاعف 0.75,35287.01,25287.01,252.87,69.58,-19.98,364,362,2,302,60,83.43,2.99,-6.56,-7321.83,-73.22
atr_50_050,تفعيل 50 بالمئة من الهدف | مسافة ATR بمضاعف 0.50,40472.45,30472.45,304.72,79.6,-19.8,367,365,2,291,74,79.73,3.5,-6.57,-2136.39,-21.37
atr_50_075,تفعيل 50 بالمئة من الهدف | مسافة ATR بمضاعف 0.75,36117.08,26117.08,261.17,71.24,-20.39,358,356,2,283,73,79.49,3.46,-6.59,-6491.76,-64.92
atr_50_100,تفعيل 50 بالمئة من الهدف | مسافة ATR بمضاعف 1.00,33768.11,23768.11,237.68,66.48,-20.23,347,345,2,270,75,78.26,3.58,-6.4,-8840.73,-88.41
atr_60_075,تفعيل 60 بالمئة من الهدف | مسافة ATR بمضاعف 0.75,36226.44,26226.44,262.26,71.46,-20.95,349,347,2,264,83,76.08,3.94,-6.35,-6382.4,-63.83
atr_60_100,تفعيل 60 بالمئة من الهدف | مسافة ATR بمضاعف 1.00,36741.84,26741.84,267.42,72.47,-20.67,341,339,2,257,82,75.81,4.02,-6.33,-5867.0,-58.67
stage_be1_target,تعادل عند ربح 1 بالمئة ثم انتظار الهدف,31712.06,21712.06,217.12,62.16,-11.13,375,373,2,332,41,89.01,2.06,-5.65,-10896.78,-108.97
stage_be1_50_050,تعادل عند 1 بالمئة | تتبع بعد نصف الهدف بمسافة 0.50 ATR,34407.28,24407.28,244.07,67.8,-11.56,394,392,2,348,44,88.78,2.0,-5.48,-8201.56,-82.02
stage_be1_50_075,تعادل عند 1 بالمئة | تتبع بعد نصف الهدف بمسافة 0.75 ATR,31822.21,21822.21,218.22,62.4,-11.95,386,384,2,342,42,89.06,1.94,-5.43,-10786.63,-107.87
stage_lock05_50_075,تأمين 0.5 بالمئة عند 1 بالمئة | تتبع بعد نصف الهدف بمسافة 0.75 ATR,30765.86,20765.86,207.66,60.12,-12.67,398,397,1,359,38,90.43,1.84,-6.37,-11842.98,-118.43
stage_be1_60_075,تعادل عند 1 بالمئة | تتبع بعد 60 بالمئة من الهدف بمسافة 0.75 ATR,32883.19,22883.19,228.83,64.64,-12.0,382,380,2,341,39,89.74,1.97,-5.85,-9725.65,-97.26
stage_be1_60_100,تعادل عند 1 بالمئة | تتبع بعد 60 بالمئة من الهدف بمسافة 1.00 ATR,32379.57,22379.57,223.8,63.58,-10.99,375,373,2,331,42,88.74,2.06,-5.58,-10229.27,-102.29
