avg_return,designed_pass,loss_count,median_return,ticker,total_return,trades,win_rate
-0.1,False,2,-0.95,MSFT,-0.65,4,50.0
1.3,True,2,2.76,NVDA,12.4,10,70.0
1.28,True,4,2.6,GOOGL,16.85,13,61.54
1.09,True,3,3.31,AMZN,8.48,8,62.5
-3.45,False,9,-7.28,TSLA,-36.24,12,25.0
-1.55,False,7,-3.71,META,-14.95,10,30.0
3.33,True,2,6.5,AVGO,28.27,8,75.0
0.83,True,5,3.06,LLY,10.76,14,64.29
0.68,True,3,1.59,COST,5.81,9,66.67
0.26,False,1,0.26,CRM,0.4,2,50.0
0,False,0,0,ADBE,0,0,0
-0.24,False,3,-6.75,AMD,-2.72,5,40.0
0.04,False,4,-0.84,TMO,-0.01,9,44.44
-1.11,False,3,-1.81,NOW,-6.68,6,16.67
0.93,False,1,2.25,INTU,4.59,5,60.0
0.43,False,4,2.33,ISRG,4.31,11,54.55
1.62,False,1,4.26,SNPS,4.73,3,66.67
1.08,True,5,5.31,PANW,17.65,17,58.82
1.55,True,8,6.39,ANET,35.75,22,59.09
1.59,True,4,5.38,KLAC,14.98,10,60.0
1.37,True,6,4.37,LRCX,19.16,15,60.0
0.47,True,4,0.89,CDNS,5.1,13,61.54
-0.52,False,6,-3.04,FTNT,-6.76,12,41.67
0.95,False,9,1.89,MRVL,17.41,22,50.0
0.79,False,4,0.79,TEAM,3.89,8,50.0
2.27,False,3,8.47,DDOG,14.98,7,57.14
0.15,False,2,-0.78,TTD,0.26,5,40.0
-0.54,False,2,-1.19,HUBS,-2.47,4,50.0
0.34,False,2,0.34,ZS,0.98,4,50.0
-1.56,False,8,-6.63,NET,-25.27,16,37.5
2.51,True,5,5.93,CRWD,56.19,19,68.42
-0.94,False,4,-2.55,SNOW,-7.78,8,37.5
-0.92,False,2,-1.93,WDAY,-3.8,4,25.0
1.05,False,1,3.0,NKE,3.06,3,66.67
1.11,False,5,5.15,CAT,13.97,13,53.85
-2.0,False,3,-3.0,HON,-9.68,5,20.0
-0.85,False,1,-0.85,LIN,-1.74,2,50.0
0.93,False,2,3.61,REGN,4.44,5,60.0
0.87,True,4,3.0,VRTX,8.4,10,60.0
1.46,True,5,4.81,ABNB,22.89,15,66.67
1.38,False,6,1.39,SHOP,13.48,12,50.0
0.55,False,6,-2.28,SPOT,4.53,13,46.15
