ticker,trades,win_rate,avg_return,median_return,total_return,loss_count,designed_pass
MSFT,4,50.0,-0.1,-0.95,-0.65,2,False
NVDA,10,70.0,1.3,2.76,12.4,2,True
GOOGL,13,61.54,1.28,2.6,16.85,4,True
AMZN,8,62.5,1.09,3.31,8.48,3,True
TSLA,12,25.0,-3.45,-7.28,-36.24,9,False
META,9,33.33,-1.83,-4.37,-15.79,5,False
AVGO,8,75.0,3.33,6.5,28.27,2,True
LLY,14,50.0,0.15,-1.35,0.91,7,False
COST,9,55.56,-0.1,0.03,-1.23,3,False
CRM,2,50.0,0.26,0.26,0.4,1,False
ADBE,0,0,0,0,0,0,False
AMD,5,40.0,-0.24,-6.75,-2.72,3,False
TMO,6,33.33,-0.44,-1.78,-2.83,3,False
NOW,6,16.67,-1.11,-1.81,-6.68,3,False
INTU,4,50.0,0.78,1.31,2.98,1,False
ISRG,11,45.45,-0.57,-2.49,-6.63,5,False
SNPS,3,66.67,1.62,4.26,4.73,1,False
PANW,17,52.94,0.73,5.31,10.87,8,False
ANET,22,59.09,1.55,6.39,35.75,8,True
KLAC,10,60.0,1.59,5.38,14.98,4,True
LRCX,15,60.0,1.37,4.37,19.16,6,True
CDNS,13,53.85,0.29,0.13,2.72,5,False
FTNT,12,41.67,-0.78,-3.35,-9.76,6,False
MRVL,22,50.0,0.95,1.89,17.41,9,False
TEAM,8,50.0,0.79,0.79,3.89,4,False
DDOG,7,57.14,2.27,8.47,14.98,3,False
TTD,5,40.0,0.15,-0.78,0.26,2,False
HUBS,3,33.33,-1.28,-4.6,-4.11,2,False
ZS,4,50.0,0.34,0.34,0.98,2,False
NET,16,37.5,-1.56,-6.63,-25.27,8,False
CRWD,19,68.42,2.51,5.93,56.19,5,True
SNOW,8,37.5,-0.94,-2.55,-7.78,4,False
WDAY,2,0.0,-3.35,-3.35,-6.59,2,False
NKE,0,0,0,0,0,0,False
CAT,13,53.85,1.11,5.15,13.97,5,False
HON,5,20.0,-2.0,-3.0,-9.68,3,False
LIN,2,50.0,-0.85,-0.85,-1.74,1,False
REGN,5,60.0,0.93,3.61,4.44,2,False
VRTX,10,60.0,0.87,3.0,8.4,4,True
ABNB,15,66.67,1.46,4.81,22.89,5,True
SHOP,12,50.0,1.38,1.39,13.48,6,False
SPOT,13,46.15,0.55,-2.28,4.53,6,False
