new_pass,new_total_return,new_trades,new_win_rate,old_pass,old_total_return,old_trades,old_win_rate,return_delta,selected_version,ticker,win_rate_delta
False,-1.13,4,50.0,False,-0.65,4,50.0,-0.48,v1_original,MSFT,0.0
True,12.4,10,70.0,True,12.4,10,70.0,0.0,v1_original,NVDA,0.0
True,16.85,13,61.54,True,16.85,13,61.54,0.0,v1_original,GOOGL,0.0
True,8.48,8,62.5,True,8.48,8,62.5,0.0,v1_original,AMZN,0.0
False,-36.24,12,25.0,False,-36.24,12,25.0,0.0,v1_original,TSLA,0.0
False,-14.95,10,30.0,False,-15.79,9,33.33,0.84,v2_refined,META,-3.33
True,28.27,8,75.0,True,28.27,8,75.0,0.0,v1_original,AVGO,0.0
True,10.76,14,64.29,False,0.91,14,50.0,9.85,v2_refined,LLY,14.29
True,5.81,9,66.67,False,-1.23,9,55.56,7.04,v2_refined,COST,11.11
False,0.09,4,50.0,False,0.4,2,50.0,-0.31,v1_original,CRM,0.0
False,0.0,0,0.0,False,0.0,0,0.0,0.0,v1_original,ADBE,0.0
False,-4.4,5,40.0,False,-2.72,5,40.0,-1.68,v1_original,AMD,0.0
False,-0.01,9,44.44,False,-2.83,6,33.33,2.82,v2_refined,TMO,11.11
False,-7.04,6,16.67,False,-6.68,6,16.67,-0.36,v1_original,NOW,0.0
False,4.59,5,60.0,False,2.98,4,50.0,1.61,v2_refined,INTU,10.0
False,4.31,11,54.55,False,-6.63,11,45.45,10.94,v2_refined,ISRG,9.1
False,3.96,7,57.14,False,4.73,3,66.67,-0.77,v1_original,SNPS,-9.53
True,17.65,17,58.82,False,10.87,17,52.94,6.78,v2_refined,PANW,5.88
True,35.75,22,59.09,True,35.75,22,59.09,0.0,v1_original,ANET,0.0
True,14.98,10,60.0,True,14.98,10,60.0,0.0,v1_original,KLAC,0.0
True,19.16,15,60.0,True,19.16,15,60.0,0.0,v1_original,LRCX,0.0
True,5.1,13,61.54,False,2.72,13,53.85,2.38,v2_refined,CDNS,7.69
False,-6.76,12,41.67,False,-9.76,12,41.67,3.0,v2_refined,FTNT,0.0
False,3.72,22,50.0,False,17.41,22,50.0,-13.69,v1_original,MRVL,0.0
False,-2.36,8,50.0,False,3.89,8,50.0,-6.25,v1_original,TEAM,0.0
False,11.42,7,57.14,False,14.98,7,57.14,-3.56,v1_original,DDOG,0.0
False,-5.31,6,33.33,False,0.26,5,40.0,-5.57,v1_original,TTD,-6.67
False,-2.47,4,50.0,False,-4.11,3,33.33,1.64,v2_refined,HUBS,16.67
False,-11.66,7,28.57,False,0.98,4,50.0,-12.64,v1_original,ZS,-21.43
False,-25.27,16,37.5,False,-25.27,16,37.5,0.0,v1_original,NET,0.0
True,56.19,19,68.42,True,56.19,19,68.42,0.0,v1_original,CRWD,0.0
False,-7.78,8,37.5,False,-7.78,8,37.5,0.0,v1_original,SNOW,0.0
False,-3.8,4,25.0,False,-6.59,2,0.0,2.79,v2_refined,WDAY,25.0
False,3.06,3,66.67,False,0.0,0,0.0,3.06,v2_refined,NKE,66.67
False,13.87,13,53.85,False,13.97,13,53.85,-0.1,v1_original,CAT,0.0
False,-9.68,5,20.0,False,-9.68,5,20.0,0.0,v1_original,HON,0.0
False,-1.74,2,50.0,False,-1.74,2,50.0,0.0,v1_original,LIN,0.0
False,3.4,7,57.14,False,4.44,5,60.0,-1.04,v1_original,REGN,-2.86
True,8.4,10,60.0,True,8.4,10,60.0,0.0,v1_original,VRTX,0.0
True,22.89,15,66.67,True,22.89,15,66.67,0.0,v1_original,ABNB,0.0
False,3.98,12,50.0,False,13.48,12,50.0,-9.5,v1_original,SHOP,0.0
False,-22.0,13,30.77,False,4.53,13,46.15,-26.53,v1_original,SPOT,-15.38
